YEAR,STATE,TOTAL,WHITE,BLACK,AIAN,ASIAN,NHPI,OTHER,MIXED,LATINO
2010,AK,710231,473576,23263,104871,38135,7409,11102,51875,39249
2010,AL,4779736,3275394,1251311,28218,53595,3057,96910,71251,185602
2010,AR,2915918,2245229,449895,22248,36102,5863,99571,57010,186050
2010,AZ,6392017,4667121,259008,296529,176695,12648,761716,218300,1895149
2010,CA,37253956,21453934,2299072,362801,4861007,144386,6317372,1815384,14013719
2010,CO,5029196,4089202,201737,56010,139028,6623,364140,172456,1038687
2010,CT,3574097,2772410,362296,11256,135565,1428,198466,92676,479087
2010,DC,601723,231471,305125,2079,21056,302,24374,17316,54749
2010,DE,897934,618617,191814,4181,28549,400,30519,23854,73221
2010,FL,18801310,14109162,2999862,71458,454821,12286,681144,472577,4223806
2010,GA,9687653,5787440,2950435,32151,314467,6799,388872,207489,853689
2010,HI,1360301,336599,21424,4164,525078,135422,16985,320629,120842
2010,IA,3046355,2781561,89148,11084,53094,2003,56132,53333,151544
2010,ID,1567582,1396487,9810,21441,19069,2317,79523,38935,175901
2010,IL,12830632,9177877,1866414,43963,586934,4050,861412,289982,2027578
2010,IN,6483802,5467906,591397,18462,102474,2348,173314,127901,389707
2010,KS,2853118,2391044,167864,28150,67762,2238,110127,85933,300042
2010,KY,4339367,3809537,337520,10120,48930,2501,55551,75208,132836
2010,LA,4533372,2836192,1452396,30579,70132,1963,69227,72883,192560
2010,MA,6547629,5265236,434398,18850,349768,2223,305151,172003,627654
2010,MD,5773552,3359284,1700298,20420,318853,3157,206832,164708,470632
2010,ME,1328361,1264971,15707,8568,13571,342,4261,20941,16935
2010,MI,9883640,7803120,1400362,62007,238199,2604,147029,230319,436358
2010,MN,5303925,4524062,274412,60916,214234,2156,103000,125145,250258
2010,MO,5988927,4958770,693391,27376,98083,6261,80457,124589,212470
2010,MS,2967297,1754684,1098385,15030,25742,1187,38162,34107,81481
2010,MT,989415,884961,4027,62555,6253,668,5975,24976,28565
2010,NC,9535483,6528950,2048628,122110,208962,6604,414030,206199,800120
2010,ND,672591,605449,7960,36591,6909,320,3509,11853,13467
2010,NE,1826341,1572838,82885,18427,32293,1279,79109,39510,167405
2010,NH,1316470,1236050,15035,3150,28407,384,12062,21382,36704
2010,NJ,8791894,6029248,1204826,29026,725726,3043,559722,240303,1555144
2010,NM,2059179,1407876,42550,193222,28208,1810,308503,77010,953403
2010,NV,2700551,1786688,218626,32062,195436,16871,324793,126075,716501
2010,NY,19378102,12740974,3073800,106906,1420244,8766,1441563,585849,3416922
2010,OH,11536504,9539437,1407681,25292,192233,4066,130030,237765,354674
2010,OK,3751351,2706845,277644,321687,65076,4369,154409,221321,332007
2010,OR,3831074,3204614,69206,53203,141263,13404,204625,144759,450062
2010,PA,12702379,10406288,1377689,26843,349088,3653,300983,237835,719660
2010,RI,1052567,856869,60189,6058,30457,554,63653,34787,130655
2010,SC,4625364,3060000,1290684,19524,59051,2706,113464,79935,235682
2010,SD,814180,699392,10207,71817,7610,394,7477,17283,22119
2010,TN,6346105,4921948,1057315,19994,91242,3642,141955,110009,290059
2010,TX,25145561,17701552,2979598,170972,964596,21656,2628186,679001,9460921
2010,UT,2763885,2379560,29287,32927,55285,24554,166754,75518,358340
2010,VT,625741,596292,6277,2207,7947,160,2105,10753,9208
2010,VA,8001024,5486852,1551399,29225,439890,5980,254278,233400,631825
2010,WA,6724540,5196362,240042,103869,481067,40475,349799,312926,755790
2010,WI,5686986,4902067,359148,54526,129234,1827,135867,104317,336056
2010,WV,1852994,1739988,63124,3787,12406,428,6119,27142,22268
2010,WY,563626,511279,4748,13336,4426,427,17049,12361,50231
2010,PR,3725789,2825100,461498,19839,6831,370,289905,122246,3688455
